nome,categoria,sinopse,preco
A SUTIL ARTE DE LIGAR O F*DA-SE,Desenvolvimento Pessoal,"Chega de tentar buscar um sucesso que só existe na sua cabeça. Chega de se torturar para pensar positivo enquanto sua vida vai ladeira abaixo. Chega de se sentir inferior por não ver o lado bom de estar no fundo do poço.
                
                Coaching, autoajuda, desenvolvimento pessoal, mentalização positiva - sem querer desprezar o valor de nada disso, a grande verdade é que às vezes nos sentimos quase sufocados diante da pressão infinita por parecermos otimistas o tempo todo. É um pecado social se deixar abater quando as coisas não vão bem. Ninguém pode fracassar simplesmente, sem aprender nada com isso. Não dá mais. É insuportável. E é aí que entra a revolucionária e sutil arte de ligar o foda-se.
                Mark Manson usa toda a sua sagacidade de escritor e seu olhar crítico para propor um novo caminho rumo a uma vida melhor, mais coerente com a realidade e consciente dos nossos limites. E ele faz isso da melhor maneira. Como um verdadeiro amigo, Mark se senta ao seu lado e diz, olhando nos seus olhos: você não é tão especial. Ele conta umas piadas aqui, dá uns exemplos inusitados ali, joga umas verdades na sua cara e pronto, você já se sente muito mais alerta e capaz de enfrentar esse mundo cão.
                Para os céticos e os descrentes, mas também para os amantes do gênero, enfim uma abordagem franca e inteligente que vai ajudar você a descobrir o que é realmente importante na sua vida, e f*da-se o resto. Livre-se agora da felicidade maquiada e superficial e abrace esta arte verdadeiramente transformadora.","R$ 60,39"
12 REGRAS PARA A VIDA,Desenvolvimento Pessoal,"Best-seller International.A proeminente “Figura Paterna” do YouTube é a voz da razão que uma geração inteira ansiava ouvir.Aclamado psicólogo clínico, Jordan Peterson tem influenciado a compreensão moderna sobre a personalidade e, agora, se transformou em um dos pensadores públicos mais populares do mundo, com suas palestras sobre tópicos que variam da bíblia, às relações amorosas e à mitologia, atraindo dezenas de milhões de espectadores. Em uma era de mudanças sem precedentes e polarização da política, sua mensagem franca e revigorante sobre o valor da responsabilidade individual e da sabedoria ancestral tem ecoado em todos os cantos do mundo.Bem-humorado, surpreendente e informativo, dr. Peterson nos conta por que meninos e meninas andando de skate devem ser deixados em paz, que terrível destino aguarda aqueles que criticam com muita facilidade e por que você sempre deve acariciar gatos ao encontrar um na rua. O que o sistema nervoso das humildes lagostas tem a nos dizer sobre a relação entre manter as costas eretas (e os ombros para trás) e o sucesso na vida? Por que os antigos egípcios veneravam a capacidade de atenção como seu deus mais supremo? Que terríveis caminhos as pessoas percorrem quando se tornam ressentidas, arrogantes e vingativas?Neste livro, ele oferece doze princípios profundos e práticos sobre como viver uma vida com significado.#1 Costas eretas, ombros para trás#2 Cuide de si mesmo como cuidaria de alguém sob sua responsabilidade#3 Seja amigo de pessoas que queiram o melhor para você#4 Compare a si mesmo com quem você foi ontem, não com quem outra pessoa é hoje#5 Não deixe que seus filhos façam algo que faça você deixar de gostar deles#6 Deixe sua casa em perfeita ordem antes de criticar o mundo#7 Busque o que é significativo, não o que é conveniente#8 Diga a verdade. Ou, pelo menos, não minta#9 Presuma que a pessoa com quem está conversando possa saber algo que você não sabe#10 Seja preciso no que diz#11 Não incomode as crianças quando estão andando de skate#12 Acaricie um gato ao encontrar um na ruaA partir de exemplos vívidos de sua prática clínica e vida pessoal, bem como de lições extraídas das histórias e mitos mais antigos da humanidade, 12 Regras para a Vida oferece um antídoto para o caos em nossas vidas: verdades eternas aplicadas aos nossos problemas modernos.","R$ 72,49"
A MORTE É UM DIA QUE VALE A PENA VIVER,Terapia Familiar,"Sobre a arte de ganhar existem muitas lições, mas e sobre a arte de perder? Ninguém quer falar a respeito disso, mas a verdade é que passamos muito tempo da vida em grande sofrimento quando perdemos bens, pessoas, realidades, sonhos.   
                    
                
                
                    
                        Saber perder é a arte de quem conseguiu viver plenamente o que ganhou um dia.
                    
                
                Em 2012, Ana Claudia Quintana Arantes deu uma palestra ao TED que rapidamente viralizou, ultrapassando a marca de 1,7 milhão de visualizações. A última fala do vídeo, ","R$ 54,89"
VOCÊ PODE CURAR SUA VIDA,Desenvolvimento Pessoal,"Neste livro inspirador e prático, a conceituada autora Louise L. Hay ensina a criar paz em sua vida e a encontrar a solução para tudo o que precisa ser curado. Você pode curar a sua vida é o best-seller definitivo sobre autocura, que já transformou a vida de milhões de pessoas.
                
 
“O que acreditamos sobre nós mesmos e sobre a vida torna-se verdade para nós” - essa é a base do livro Você pode curar a sua vida, de Louise L. Hay. A autora best-seller defende que todos nós temos a capacidade de transformar positivamente nossas vivências e nos tornarmos pessoas melhores, contudo, ocasionalmente, nos encontramos desorientados perante o aparente caos do cotidiano, e saber aceitar todo o poder que temos e aplicá-lo em nossa rotina torna-se uma tarefa árdua.
Este livro foi elaborado como se o leitor estivesse participando de uma sessão com a própria Louise Hay. Existem exercícios a serem seguidos, bem como uma riqueza de informações a serem coletadas. Cada capítulo começa com uma afirmação e termina com um tratamento, um fluxo de ideias positivas projetadas para mudar sua consciência. Ele é dividido em quatro seções principais, o que facilita o acesso ao procurar informações específicas.
Inicialmente o texto analisa a filosofia e as crenças de Hay. A autora se concentra em temas como crítica, culpa, medo e ressentimento, e em como todos esses sentimentos geram atitudes autodestrutivas e causam grandes problemas a longo prazo.
Na segunda parte ela deixa o leitor imerso no trabalho necessário para mudar seus pensamentos e sua vida.  No tópico seguinte, Parte III, somos convidados a colocar essas ideias em ação. E na conclusão a autora conta a sua própria história, dividindo com o leitor suas experiências pessoais e práticas aplicando seu método para uma vida de paz e cura.
Louise L. Hay escreveu uma obra prima, e nele o leitor encontrará lições sobre amor-próprio, exercícios que estimulam a autocompaixão e afirmações positivas que ajudarão a criar paz, harmonia e equilíbrio interior. Você pode curar a sua vida é um dos maiores best-sellers de desenvolvimento pessoal de todos os tempos e foi o catalisador de transformações promissoras na vida de milhares pessoas ao redor de todo o mundo.","R$ 60,39"
HÁBITOS ATÔMICOS,Desenvolvimento Pessoal,"BEST-SELLER DO NEW YORK TIMES.
                    
                
Pequenas mudanças, resultados impressionantes. Não importa quais sejam seus objetivos, Hábitos Atômicos oferece um método eficaz para você se aprimorar ? todos os dias. James Clear, um dos mais expoentes especialistas na criação de hábitos, revela as estratégicas práticas que o ensinarão, exatamente, como criar bons hábitos, abandonar os maus e fazer pequenas mudanças de comportamento que levam a resultados impressionantes. Se enfrenta dificuldades para mudar seus hábitos, o problema não é você, é o sistema escolhido. Os maus hábitos se repetem sem parar porque você está usando o sistema errado, e não porque não queira mudar.Assim, suas limitações não são a complexidade de seu objetivo, mas a inadequação de seus sistemas.
Neste livro, você aprenderá um método comprovado capaz de levá-lo a novos patamares. Clear é conhecido por sua habilidade em transformar tópicos complexos em comportamentos simples que podem ser facilmente aplicados à vida cotidiana e profissional. Seu método, desenvolvido a partir de conceitos comprovados da biologia, psicologia e neurociência, é um guia descomplicado para tornar os bons hábitos inevitáveis e os maus, impossíveis. Ao longo desta jornada, os leitores serão inspirados e entretidos por histórias de medalhistas de ouro em Olimpíadas, artistas premiados, líderes de negócios, médicos que salvam vidas e astros da comédia que usaram a ciência dos pequenos hábitos para dominar seu ofício e se lançar ao topo de suas áreas de atuação.
Hábitos Atômicos remodela sua forma de pensar em avanço e sucesso e traz as ferramentas e estratégias de que precisa para transformar seus hábitos ? seja você técnico de um time almejando a conquista de um título, uma organização com pretensões de reinventar seu setor ou simplesmente um indivíduo que deseja parar de fumar, perder peso, reduzir o estresse ou atingir qualquer outra meta. Descubra o Segredo dos Resultados Permanentes Repleto de estratégias testadas e aprovadas de autoaprimoramento, Hábitos Atômicos ensinará você a construir hábitos que funcionem para - e não contra - você.

                    ","R$ 66,99"
INTELIGÊNCIA EMOCIONAL,Aconselhamento,"Publicado pela primeira vez em 1995, nos Estados Unidos, este livro transformou a maneira de pensar a inteligência. Alterou práticas de educação e mudou o mundo dos negócios. Das fronteiras da psicologia e da neurociência, Daniel Goleman trouxe o conceito de ","R$ 98,89"
TALVEZ VOCÊ DEVA CONVERSAR COM ALGUÉM,Desenvolvimento Pessoal,"De modo geral, buscamos a ajuda de um terapeuta para melhor compreender as angústias, os medos, a culpa ou quaisquer outros sentimentos que nos causam desconforto e sofrimento. Mas quantos de nós já paramos para perguntar: o terapeuta está imune à gama de questões que ele auxilia seus pacientes a dirimir e superar, dia após dia? A autora best-seller e terapeuta Lori Gottlieb nos mostra que a resposta a essa pergunta traz revelações surpreendentes.
                Quando ela se vê emocionalmente incapaz de gerenciar uma situação que perturba sua vida, uma amiga lhe faz uma sugestão:  talvez você deva conversar com alguém. 
                
                Combinando histórias reunidas a partir de sua rica trajetória como terapeuta (distribuídas entre quatro personagens inesquecíveis) à sua própria experiência como paciente, Lori nos oferece um relato afetuoso, leve e comovente sobre a universalidade de nossas perguntas e ansiedades, e joga luz sobre o que há de mais misterioso em nós, afirmando nossa capacidade de mudar nossas vidas.
                Uma jornada emocionante de autodescoberta, uma homenagem à natureza humana e um lembrete sobre a importância de sermos ouvidos, mas também de sabermos ouvir. Um livro sobre a importância dos encontros, dos afetos e da coragem de todos os que partimos para a aventura do autoconhecimento.","R$ 98,78"
NUNCA É HORA DE PARAR - LIBERTE SUA MENTE E,Desenvolvimento Pessoal,"Do mesmo autor de Nada pode me ferir, mais de 5 milhões de livros vendidos.

“A única coisa que sei é: eu sou David Goggins. Existo, logo termino o que começo. Tenho orgulho do meu esforço. E, enquanto eu estiver no planeta Terra, não vou fazer nada pela metade.” – David Goggins

“David Goggins é um tipo raro de ser humano. Seu compromisso com sua filosofia, que destaca a importância de alcançar a grandeza através de resiliência mental e disciplina, dando tudo de si, tem servido de inspiração e motivação para milhões de pessoas em todo o mundo, inclusive para mim.” – Dwayne Johnson, “The Rock”



Em seu primeiro livro, Nada pode me ferir, Goggins revela o potencial inexplorado que todos temos dentro de nós.

Agora ele nos leva para o seu laboratório mental, no qual desenvolveu a filosofia, a psicologia e as estratégias que lhe mostraram que superar seus limites é apenas o ponto de partida, pois a busca pela grandeza nunca termina.

Sua impressionante história oferece ao leitor um mapa para sair do fundo do poço e chegar a um novo patamar que antes parecia inalcançável.

Se você sente que está sem rumo na vida, se busca maximizar seu potencial ou se apenas quer usar todas as suas energias para vencer barreiras aparentemente impossíveis, este livro é a inspiração de que você precisa.","R$ 65,89"
CARTAS A UM JOVEM TERAPEUTA,Psicologia,"Respeitado pelos seus pares, admirado pelos intelectuais e querido pelos pacientes e leitores, Contardo Calligaris é uma
unanimidade no país. Italiano de nascimento, ele conquistou os brasileiros com seu jeito lúcido, claro e provocativo de
abordar questões comuns a homens e mulheres, não importando a idade e convicções políticas, filosóficas e religiosas.
Há pouco mais de dez anos publicou a primeira edição de Cartas a um jovem terapeuta. Fez tanto sucesso que,
agora, Calligaris lança uma nova edição ampliada com mais conteúdo para os temas já abordados, como a vocação
profissional, o primeiro paciente, amores terapêuticos, o dilema “curar ou não curar” e até questões práticas e o que
fazer para ter mais pacientes.
Mas Calligaris introduz outros pontos também fundamentais na formação do psicoterapeuta, como as condições necessárias
para seguir a profissão, quanto custa e o que é preciso ler. Aborda também, de uma forma muito sincera, a sempre conflitante
e contraditória relação com a família. E responde uma pergunta muito frequente: por que os terapeutas enxergam tudo pelo
prisma da sexualidade?","R$ 69,19"
JARDIM SECRETO,Autoajuda,"Faça um passeio por estes lindos jardins e se aventure em uma caça ao tesouro tão fascinante que todos os seus problemas ficarão para trás. As ilustrações ricas em detalhes estão só esperando por você para ganhar vida.
                Divirta-se procurando as diversas criaturas escondidas nestas páginas. Complete os espaços em branco, escolha suas cores preferidas, faça seus próprios esboços e crie um universo deslumbrante onde não há lugar para o estresse.
                Este é um livro para todas as idades, que nos permite esquecer as adversidades do dia a dia através dos desenhos e que busca trazer à tona o artista que existe em cada um de nós.","R$ 65,89"
O EGO É SEU INIMIGO,Autoajuda,"Ele arruinou a carreira de gênios promissores.
                    
                    Mandou pelos ares grandes fortunas e destruiu empresas.
                    
                    Tornou as adversidades insuportáveis e transformou esforço em vergonha. Seu nome? Ego.
                    
                    O ego é um adversário interno citado por quase todos os grandes filósofos da história, em incontáveis obras de arte, de todas as culturas, de todos os tempos.
                    E agora vamos aprender a destruí-lo, antes que ele destrua você.
                    Em O ego é seu inimigo, Holiday usa como exemplo histórias reais e inspiradoras de pessoas comuns que dominaram o ego, alcançaram os mais altos níveis de poder e sucesso e se tornaram lendas — não pela fama, mas pelo trabalho e legado. Ao perceber a influência negativa do ego e combatê-lo, você será capaz de viver melhor e alcançar resultados mais expressivos. As estratégias e táticas desenvolvidas por essasfiguras fascinantes vão ajudá-lo a vencer esse inimigo tão poderoso que nos desafia todos os dias.
                    • Ryan Holiday abandonou a faculdade aos 19 anos para ser aprendiz de Robert Greene, autor de As 48 leis do poder. Contratado mais tarde como diretor de marketing da American Apparel, antiga loja americana, foi responsável por campanhas famosas por suas polêmicas.
                    • O autor é fundador da agência Brass Check, que já ofereceu consultoria para grandes companhias, como Google, e também para diversos autores de sucesso, como Tim Ferriss (4 horas para o corpo).
                    • Holiday é autor de vários livros, entre eles O obstáculo é o caminho, traduzido para 17 idiomas e cultuado entre técnicos da liga de futebol americano dos Estados Unidos, atletas de elite, personalidades de TV e líderes políticos. Atualmente vive em um rancho próximo de Austin, Texas, nos Estados Unidos.
                    “Ensina a domesticar a fera dentro de nós e a manter o foco no que importa — fazer o melhor trabalho possível.”","R$ 65,89"
OS QUATRO COMPROMISSOS,Desenvolvimento Pessoal,"O livro clássico da autoajuda baseado na filosofia tolteca que viralizou nas redes sociais. Os quatro compromissos traz um guia prático para a liberdade pessoal que já transformou a vida de vários famosos como Manu Gavassi, Gisele Bundchen e Juliette Freire.
                
 

                    Os quatro compromissos apresenta a possibilidade de uma nova vida, repleta de energia, felicidade genuína e amor. Sua abordagem tem base no pensamento dos antigos toltecas, povo que habitava a região do atual México. Don Miguel Ruiz acredita que, para conquistar essa nova vida, basta estabelecer e honrar quatro compromissos básicos: seja impecável com sua palavra, não leve nada para o lado pessoal, não tire conclusões e sempre dê o melhor de si.
Em Os quatro compromissos você vai descobrir a fonte de crenças autolimitantes que nos roubam a alegria e criam sofrimentos desnecessários. Baseadas na sabedoria ancestral tolteca, as ideias contidas neste livro explicam de forma esclarecedora como somos influenciados e profundamente modificados de acordo com os padrões exigidos pela sociedade moderna
Don Miguel Ruiz oferece ao leitor um guia sobre hábitos e conceitos simples, que todos conhecemos, mas, infelizmente, deixamos de praticar. Os quatro compromissos consiste em compromissos de fé e de caráter que afastam a tristeza, a insegurança e a dependência, levando-nos à verdadeira liberdade - aquela que vem da alma, que somente nós podemos nos conceder.
Nesta nova edição repaginada de Os quatro compromissos você descobrirá um poderoso código de conduta que pode rapidamente transformar sua vida em uma nova experiência de liberdade verdadeira, felicidade e amor.","R$ 54,89"
MAIS ESPERTO QUE O DIABO,Autoajuda,"Neste livro, inédito no Brasil, você vai descobrir, após 75 anos de segredo, por meio dessa entrevista exclusiva que Napoleon Hill fez, quebrando o código secreto da mente do Diabo:
Quem é o Diabo? Onde ele habita? Quais suas principais armas mentais? Quem são os alienados e de que forma eles ou elas se alienam? De que forma o Diabo influencia a nossa vida do dia a dia? Como a sua dominação influencia nossas atitudes? O que é o medo? Como nossos líderes religiosos e nossos professores são afetados pelo Diabo? Quais as armas que nós, seres humanos, possuímos para combater a dominação do Diabo? Qual a visão do Diabo sobre a energia sexual? Como buscar uma vida cheia de realizações, valorizando a felicidade e a liberdade?
Essas perguntas e muitas outras são respondidas pelo próprio Diabo, que se autodenomina ","R$ 54,89"
Nome não encontrado,Categoria não encontrada,Sinopse não encontrada,"R$ 29,90"
MANUAL DE PERSUASÃO DO FBI,Psicologia,"Ex-agente do FBI ensina como influenciar, atrair e conquistar pessoas!
Como um agente especial para o Programa de Análise Comportamental da Divisão de Segurança Nacional do FBI, Dr. Jack Schafer desenvolveu estratégias dinâmicas e inovadoras para entrevistar terroristas e detectar mentiras.  Agora, Dr. Schafer evoluiu suas táticas e nos ensina como aplicá-las no cotidiano para obter sucesso nas relações interpessoais.
Você quer pensar e reagir como os investigadores de TV do Criminal Minds, CSI ou Lie to Me? Quer influenciar pessoas recém-conhecidas e planejar a imagem pessoal que transmitirá no dia a dia? Quer entender através da linguagem corporal o que passa pela cabeça das pessoas ao seu redor? Quer descobrir se alguém está mentindo?
Caso tenha respondido sim para alguma dessas perguntas, este é o livro perfeito para você.","R$ 49,90"
FRANCISCO DE ASSIS,Religião,,"R$ 59,90"
ED & LORRAINE WARREN: VIDAS ETERNAS,Autobiografia,"O mais famoso casal de investigadores paranormais está de volta para deixar os leitores da DarkSide® Books de cabelo em pé. Você com certeza já ouviu falar deles, mesmo que morra de medo do assunto: Ed e Lorraine Warren, a dupla conhecida em todos os planos, terrenos e astrais, por sua eficiência em despachar espíritos malignos para o lugar da onde vieram. Juntos, eles agiram com todo o seu conhecimento no cabuloso caso dos Smurl, uma família atormentada durante três anos por forças demoníacas.

Pelo fato de lidar de modo fatual com provas do mundo demoníaco, o livro Ed & Lorraine Warren: Vidas Eternas, mais recente lançamento da coleção sobrenatural da DarkSide® Books, causará pesadelos em alguns e, em outros, súbitos atos de religiosidade para garantir que nenhum espírito se engrace para o seu lado.

Ed & Lorraine Warren: Vidas Eternas traz os os detalhes do caso de assombração da família Smurl, da Pensilvânia. Escrito pelo jornalista Robert Curran, o livro foi compilado a partir de testemunhos dos oito residentes do número 328-330 da Chase Street, assim como de outras 28 pessoas que vivenciaram fenômenos sobrenaturais ligados à família Smurl.

Ed e Lorraine Warren estiveram envolvidos com o caso desde o início de 1986 e, entre muitas outras coisas, organizaram os exorcismos que foram executados na casa. A vasta experiência da dupla ajudou a família Smurl a lidar com o pesadelo pelo qual estavam passando — e os detalhes vão abrir os olhos dos leitores a respeito de como o mal age. Manifestações tenebrosas, vultos perturbadores, marcas inexplicáveis e torturas excruciantes faziam parte do dia a dia da família, dentro e fora de casa. Por que um demônio escolheu provocá-los? Embora não haja resposta fácil para isso, e muitos rituais tenham sido performados para livrar a todos do mal, amém, aparentemente o demônio sempre retorna. Sempre.

Conhecidos pela sua efetividade em grandes casos de assombração, Ed e Lorraine Warren atuaram em casos icônicos de assombração ao longo de décadas em serviço. Os casos mais famosos, como os de Amityville, Rhode Island e de Enfield, para citar alguns, foram adaptados para o cinema e tiveram seus detalhes compartilhados em livros — muitos deles com edições especiais lançadas pela DarkSide® Books, a casa perfeita para assuntos do Outro Lado. Ed & Lorraine Warren: Demonologias é considerada a biografia definitiva do casal e Ed & Lorraine Warren: Lugar Sombrio, um relato meticuloso sobre o exorcismo de Connecticut. O terceiro livro, Ed & Lorraine Warren: Vidas Eternas, chega em junho de 2019 para concluir a coleção de Arquivos Sobrenaturais que homenageia a dupla.

Juntos do Outro Lado

Ed e Lorraine Warren desvendaram mais de 10 mil casos paranormais com poltergeists, possessões demoníacas e casas mal-assombradas que resultaram em relatórios únicos sobre o que pode haver, de fato, do Outro Lado.

Responsável por manter o legado dos Warren desde a morte de Ed em 2006, Lorraine faleceu em abril de 2019, aos 92 anos de idade, em Connecticut, e juntou-se ao marido no plano astral para viverem suas vidas eternas lado a lado. O otimismo e fé inabaláveis dos dois foram fundamentais para enfrentar as forças do mal do lado de cá. Agora eles descansam juntos para sempre.","R$ 79,90"
O DIÁRIO DE ANNE FRANK (EDIÇÃO OFICIAL - LIVRO DE BOLSO),Biografias,,"R$ 39,90"
EM BUSCA DE MIM,Biografias,"A internacionalmente aclamada atriz Viola Davis narra em sua biografia, Em busca de mim, tudo o que viveu desde a infância difícil até o estrelato. Nesta biografia você vai conhecer uma garotinha chamada Viola, que fugia de seu passado até tomar a transformadora decisão de parar de fugir para sempre.
                

                     
                

                    Em busca de mim conta a minha história, de um apartamento caindo aos pedaços na cidade de Central Falls, em Rhode Island, para os palcos de Nova York e além. Este é o caminho que percorri em busca de propósito e força, mas também para me fazer ser ouvida em um mundo que não me percebia.
Enquanto escrevia Em busca de mim, pensei no quanto nossas histórias nem sempre recebem a devida atenção. São reinventadas para serem encaixadas em um mundo louco, competitivo e crítico. Escrevi este livro para aqueles que se sentem excluídos, que estão em busca de uma forma de entender e superar um passado complicado e encontrar autoaceitação no lugar da vergonha.
Escrevi para quem precisa se lembrar de que a vida só vale a pena ser vivida se a encararmos com honestidade radical e coragem de abandonar as máscaras e apenas ser... você.

                    Em busca de mim é uma reflexão profunda, uma promessa e uma declaração de amor a mim mesma. Espero que minha história o inspire a revolucionar sua vida de forma criativa e a redescobrir quem você era antes que o mundo tentasse defini-lo.
 
“Desde a primeira página fica evidente que Viola Davis trará um relato muito mais íntimo e visceral do que a maioria das biografias de celebridades; Em busca de mim passa a sensação de que estamos frente a frente com Viola, conversando sobre sua vida, dificuldades e tudo mais.” - USA Today
                
“Uma narrativa de tribulações e sucesso... A belíssima escrita de Viola vai inspirar a todos que desejam se livrar de antigos rótulos.” - Los Angeles Times","R$ 71,39"
RITA LEE,Música,"“Do primeiro disco voador ao último porre, Rita é consistente. Corajosa. Sem culpa nenhuma. Tanto que, ao ler o livro, várias vezes temos a sensação de estar diante de uma bio não autorizada, tamanha a honestidade nas histórias. A infância e os primeiros passos na vida artística; sua prisão em 1976; o encontro de almas com Roberto de Carvalho; o nascimento dos filhos, das músicas e dos discos clássicos; os tropeços e as glórias.
Está tudo lá. E você pode ter certeza: essa é a obra mais pessoal que ela poderia entregar de presente para nós. Rita cuidou de tudo. Escreveu, escolheu as fotos e criou as legendas  e até decidiu a ordem das imagens , fez a capa, pensou na contracapa, nas orelhas... Entregou o livro assim: prontinho. Sua essência está nessas páginas. E é exatamente desse modo que a Globo Livros coloca a autobiografia da nossa estrela maior no mercado.”

Guilherme Samora é jornalista e estudioso do legado cultural de Rita Lee","R$ 71,39"
TUDO O QUE EU SEI SOBRE O AMOR,Biografias,"Descrito como um “Sex and the City para millennials”, primeiro livro de autora britânica traz relatos divertidíssimos sobre o drama e a comédia da vida adulta
                
                Dolly Alderton sabe bem do que está falando. Ela sobreviveu aos seus vinte anos com dignidade (mais ou menos), e todo mundo que já passou (ou está passando) por essa década decisiva da vida sabe que chegar inteiro aos trinta é um feito e tanto. São muitas descobertas, experimentações, romances intensos, roubadas, porres homéricos, empregos estranhos, autossabotagem, foras destruidores, mágoas, humilhações e, o mais importante, amigos imprescindíveis que estão sempre ali para te ajudar a passar por todas essas coisas sem grandes traumas (ou quase isso).
                Estreia da autora na literatura, Tudo o que eu sei sobre o amor acompanha a trajetória de Dolly da juventude à vida adulta. Uma espécie de O Diário de Bridget Jones da vida real, o livro traz um misto de sessão de terapia e muita fofoca. Dolly sabe navegar como poucos entre o trágico e o incrivelmente cômico de suas memórias sem dar chance para a nossa indiferença, com histórias impossíveis de não se identificar — por vezes tão insanas que poderiam ser ficção — e que traduzem de forma brilhante o verdadeiro caos que é amadurecer.","R$ 65,89"
SOM LIVRE,Negócios,"A história da Som Livre, a maior gravadora brasileira
                 
                
                
                Entre as trilhas sonoras das primeiras novelas que pararam o Brasil e a explosão da nova música sertaneja, a trajetória dos 50 primeiros anos da gravadora Som Livre ajuda a contar a história da música brasileira no período. E do próprio país: o país das novelas, da televisão, da mais rica música popular do planeta.
 
                
                
                Escrita pelo jornalista e crítico de música popular Hugo Sukman, 
                Som Livre - uma biografia do ouvido brasileiro
                 conta a história da maior gravadora 100% brasileira, fundada pelo produtor musical João Araújo, em 1969, e que fez parte da trajetória de alguns dos mais importantes artistas do país.
 
                
                
                A história da Som Livre é a história do lançamento de Djavan e da consagração de Rita Lee, do Sítio do Pica-Pau Amarelo e de Xuxa, do pop sofisticado de Guilherme Arantes ao rock literário de Cazuza, do início de Alceu Valença ao auge de Jorge Ben Jor e o final de Elis Regina, dos Novos Baianos aos neo sertanejos Luan Santana, Bruno & Marrone, Maiara e Maraísa e dezenas de outros artistas, duplas e bandas que fizeram a música brasileira nos últimos anos.
 
                
                
                A obra conta os bastidores por trás dos sucessos que embalaram gerações, incluindo trilhas sonoras de grandes novelas, festivais de música e canções emblemáticas de programas de TV. Além disso, aborda ainda temas marcantes da indústria musical, como o seu quase extermínio pela pirataria na virada do século, os embates com a censura e o seu renascimento pela tecnologia digital.","R$ 64,90"
CARTAS DE J.R.R. TOLKIEN,Literatura,"Compilado das cartas de J.R.R. Tolkien organizado e editado por Humphrey Carpenter, biógrafo oficial do autor, com a assistência direta de Christopher Tolkien. A mais completa edição das cartas do autor já publicada, revelando novos insights sobre a criação de O Hobbit, O Senhor dos Anéis e O Silmarillion.
                
Uma seleção da correspondência de Tolkien já havia sido publicada em 1981. Apresentava, nas próprias palavras de Tolkien, um retrato altamente detalhado do homem em seus muitos aspectos: contador de histórias, estudioso, católico, pai, amigo e observador do mundo ao seu redor.
Nesta edição revisada e ampliada foi possível voltar aos textos datilografados e notas originais dos editores, restaurando mais de 150 cartas que foram extirpadas puramente para atingir o que era então considerado um “tamanho publicável” e apresentar o livro como originalmente pretendido.
Os entusiastas de seus escritos encontrarão muitas novidades, pois as cartas não incluem apenas informações novas sobre a Terra-média, como o próprio resumo do enredo de Tolkien da totalidade de O Senhor dos Anéis, mas também muitos insights sobre o homem e seu mundo. Além disso, esta nova seleção irá entreter qualquer pessoa que aprecie a arte de escrever cartas, na qual J.R.R. Tolkien era um mestre.","R$ 139,90"
LEBRON,Esportes,"A biografia definitiva do maior jogador de basquete do século XXI, ícone global e bilionário, baseada em três anos de pesquisa e em mais de 250 entrevistas. 
                
São muitas histórias improváveis e fascinantes que fizeram de LeBron James o maior ícone de basquete do século XXI, o maior pontuador da história da NBA e o primeiro jogador da liga a se tornar bilionário. Até mesmo porque o garoto pobre nascido em Akron, Ohio (EUA), filho de mãe solo, poderia ter sido jogador de futebol americano. Mas emergiu como atleta de ensino médio mais disputado do basquete de seu país. Neste livro, o jornalista Jeff Benedict apresenta a série de reveses, triunfos e a persistência que fizeram de LeBron o campeão da NBA, sucessor de Michael Jordan e ícone global. É um livro que vai muito além do esporte, com lições inspiradoras sobre liderança e marketing — mostrando, por exemplo, os bastidores da disputa milionária entre Nike, Adidas e Reebok para patrocinar o jovem LeBron de 18 anos. Os leitores também descobrirão como o jogador aprendeu a lidar com a pressão, impôs um estilo de jogo que valorizou o coletivo e construiu um time dos sonhos por onde passou.
“Inspirador… Uma história sobre talento, coragem e sorte.” — The Wall Street Journal
                
“Uma história que mostra o quanto James mudou a percepção sobre o que significa ser um atleta nos tempos atuais.” — Associated Press","R$ 119,90"
EU SEI POR QUE O PÁSSARO CANTA NA GAIOLA,Biografias,"RACISMO. ABUSO. LIBERTAÇÃO. A vida de Marguerite Ann Johnson foi marcada por essas três palavras. A garota negra, criada no sul por sua avó paterna, carregou consigo um enorme fardo que foi aliviado apenas pela literatura e por tudo aquilo que ela pôde lhe trazer: conforto através das palavras. Dessa forma, Maya, como era carinhosamente chamada, escreve para exibir sua voz e libertar-se das grades que foram colocadas em sua vida. As lembranças dolorosas e as descobertas de Angelou estão contidas e eternizadas nas páginas desta obra densa e necessária, dando voz aos jovens que um dia foram, assim como ela, fadados a uma vida dura e cheia de preconceitos. Com uma escrita poética e poderosa, a obra toca, emociona e transforma profundamente o espírito e o pensamento de quem a lê.","R$ 74,90"
